iter	Passed	Remaining
327	183378	375702
328	183897	375061
329	184359	374305
330	184850	373609
331	185331	372896
332	185878	372315
333	186428	371741
334	187025	371260
335	187529	370594
336	188118	370097
337	188668	369522
338	189210	368932
339	189725	368290
340	190268	367703
341	190801	367098
342	191363	366547
343	191836	365827
344	192354	365194
345	192879	364575
346	193394	363937
347	193907	363297
348	194426	362669
349	194974	362095
350	195512	361503
351	196106	361013
352	196694	360513
353	197334	360107
354	197884	359535
355	198361	358833
356	198852	358157
357	199391	357568
358	199825	356791
359	200404	356274
360	201010	355804
361	201504	355138
362	202107	354661
363	202601	353996
364	203116	353367
365	203680	352823
366	204212	352225
367	204672	351502
368	205198	350894
369	205666	350189
370	206147	349506
371	206704	348952
372	207224	348336
373	207816	347842
374	208405	347341
375	208937	346747
376	209506	346213
377	210008	345569
378	210508	344923
379	211031	344314
380	211545	343691
381	212097	343131
382	212791	342799
383	213406	342339
384	214013	341865
385	214566	341304
386	215110	340729
387	215695	340221
388	216222	339618
389	216818	339126
390	217387	338591
391	217941	338031
392	218459	337416
393	218977	336803
394	219527	336237
395	220050	335632
396	220593	335058
397	221139	334487
