iter	MultiClass
125	-0.5469978631
126	-0.5465338859
127	-0.5461660191
128	-0.5456830822
129	-0.5453094963
130	-0.5449263694
131	-0.5445521639
132	-0.5442317797
133	-0.5438349302
134	-0.5434181338
135	-0.5431105474
136	-0.542693144
137	-0.5423244437
138	-0.5418332885
139	-0.5414120877
140	-0.5411137699
141	-0.5406216104
142	-0.5402203378
143	-0.5398832665
144	-0.5395077179
145	-0.5390407564
146	-0.5386779674
147	-0.5383557038
148	-0.5379668446
149	-0.5376609061
150	-0.5373531479
151	-0.5369841975
152	-0.5365647349
153	-0.5363088478
154	-0.5359899659
155	-0.535687813
156	-0.535311272
157	-0.5350761
158	-0.5347858343
159	-0.5344421223
160	-0.5341402046
161	-0.5338599923
162	-0.5335828894
163	-0.5332378008
164	-0.5328140039
165	-0.5324906385
166	-0.5320632235
167	-0.5317401508
168	-0.5315140956
169	-0.5311885336
170	-0.530935009
171	-0.5306286963
172	-0.5303247748
173	-0.5300584946
174	-0.5297598957
175	-0.5295293226
176	-0.52919555
177	-0.5288571668
178	-0.5286055582
179	-0.5283423258
180	-0.5281075812
181	-0.5277935741
182	-0.5275994903
183	-0.5273836156
184	-0.5271116067
185	-0.5268790553
186	-0.5267001891
187	-0.5264238796
188	-0.5262037282
189	-0.5259423531
190	-0.52571389
191	-0.5254981727
192	-0.5252016882
193	-0.5250314257
194	-0.5248261508
195	-0.5246073265
196	-0.5242944478
197	-0.5240983798
198	-0.523958131
199	-0.5238010065
200	-0.5235532138
201	-0.5233378678
202	-0.5231582434
203	-0.5229091612
204	-0.5226764373
205	-0.5224946569
206	-0.5223376941
207	-0.5221769126
208	-0.5219862987
209	-0.521749797
210	-0.5215454099
211	-0.5214097538
212	-0.5211320799
213	-0.5208857908
214	-0.520727552
215	-0.5205137819
216	-0.5203178267
217	-0.520082098
218	-0.5199402672
219	-0.5196990628
220	-0.5195693194
221	-0.5193539582
222	-0.5192513847
223	-0.5190761837
224	-0.5188944272
225	-0.5186977921
226	-0.5185364666
227	-0.5184080394
228	-0.5182807738
229	-0.5181945808
230	-0.5180738717
231	-0.5179169392
232	-0.5177204239
233	-0.5175605171
234	-0.5174073401
235	-0.5171375383
236	-0.5169157347
237	-0.5167314798
238	-0.516619714
239	-0.5165008092
240	-0.5163847834
241	-0.516286696
242	-0.5161390535
243	-0.5159990761
244	-0.5158726019
245	-0.515717237
246	-0.5155316731
247	-0.515401821
248	-0.5152724864
249	-0.5151103552
250	-0.5148977238
251	-0.5148053147
252	-0.5146559648
253	-0.5144592064
254	-0.5142899319
255	-0.5141472467
256	-0.513995644
257	-0.5138728187
258	-0.5137247771
259	-0.5135698943
260	-0.513413743
261	-0.5132713707
262	-0.5131460121
263	-0.5130656937
264	-0.5129440311
265	-0.512745822
266	-0.5125880781
267	-0.512438211
268	-0.5122949786
269	-0.5122272973
270	-0.5120054575
271	-0.5118783423
272	-0.5117207467
273	-0.5115448764
274	-0.5113780176
275	-0.5113384835
276	-0.5111521514
277	-0.5110459027
278	-0.5109053337
279	-0.5107978207
280	-0.5106944159
281	-0.5105461013
282	-0.5104459124
283	-0.5102907373
284	-0.5101754008
285	-0.5101019598
286	-0.5100067149
287	-0.5098552457
288	-0.5097909736
289	-0.509731272
290	-0.5096221531
291	-0.509509897
292	-0.5093900487
293	-0.5092568068
294	-0.5091438888
295	-0.509006697
296	-0.5088934755
297	-0.5087615473
298	-0.5086432371
299	-0.508590409
300	-0.5084690515
301	-0.5083650479
302	-0.508251304
303	-0.508185021
304	-0.5080889082
305	-0.507990513
306	-0.5079347676
307	-0.5077960076
308	-0.5076910376
309	-0.5076245538
310	-0.5075030859
311	-0.5073987075
312	-0.5072787901
313	-0.5071425561
314	-0.5071150568
315	-0.5070025921
316	-0.5068670009
317	-0.5068253348
318	-0.5067309908
319	-0.5066135445
320	-0.5065547271
321	-0.5064259232
322	-0.5064083952
